Open,Close
4469.93,4285.08
4285.08,4108.37
4108.37,4139.98
4139.98,4086.29
4086.29,4016
4016,4040
4040,4114.01
4114.01,4316.01
4316.01,4280.68
4280.68,4337.44
4337.44,4310.01
4310.01,4386.69
4386.69,4587.48
4587.48,4555.14
4555.14,4724.89
4724.89,4834.91
4834.91,4472.14
4472.14,4509.08
4509.08,4100.11
4100.11,4366.47
4366.47,4619.77
4619.77,4691.61
4691.61,4282.8
4282.8,4258.81
4258.81,4130.37
4130.37,4208.47
4208.47,4163.72
4163.72,3944.69
3944.69,3189.02
3189.02,3700
3700,3714.95
3714.95,3699.99
3699.99,4035.01
4035.01,3910.04
3910.04,3900
3900,3609.99
3609.99,3595.87
3595.87,3780
3780,3660.02
3660.02,3920.75
3920.75,3882.35
3882.35,4193
4193,4174.5
4174.5,4174.69
4174.69,4378.51
4378.51,4378.48
4378.48,4380
4380,4310
4310,4208.59
4208.59,4292.43
4292.43,4369
4369,4423
4423,4640
4640,4786.95
4786.95,4783.06
4783.06,4821.43
4821.43,5430
5430,5649.98
5649.98,5869.99
5869.99,5709.99
5709.99,5760.02
5760.02,5595
5595,5512.06
5512.06,5683.9
5683.9,6010.01
6010.01,6024.97
6024.97,5950.02
5950.02,5915.93
5915.93,5477.03
5477.03,5689.99
5689.99,5861.77
5861.77,5768.83
5768.83,5719.64
5719.64,6169.98
6169.98,6120.5
6120.5,6463
6463,6753.98
6753.98,7019.98
7019.98,7115.04
7115.04,7357.09
7357.09,7345.01
7345.01,6960.12
6960.12,7064.04
7064.04,7303
7303,7079.99
7079.99,6506.98
6506.98,6245.05
6245.05,5811.03
5811.03,6465.99
6465.99,6574.99
6574.99,7240.06
7240.06,7864.5
7864.5,7699.19
7699.19,7761.94
7761.94,8038
8038,8212
8212,8119.51
8119.51,8205.92
8205.92,8019.99
8019.99,8138
8138,8700.01
8700.01,9128.02
9128.02,9650
9650,9896.8
9896.8,9687.88
9687.88,9838.96
9838.96,10782.99
10782.99,10890.01
10890.01,11165.41
11165.41,11579
11579,11699.99
11699.99,13550.05
13550.05,16599
16599,15880
15880,14656.07
14656.07,14899.98
14899.98,16587.97
16587.97,16349.99
16349.99,16033.29
16033.29,16334.98
16334.98,17539.83
17539.83,19102.66
19102.66,18860.02
18860.02,18856.25
18856.25,17295.2
17295.2,16488.98
16488.98,15492.64
15492.64,13326.61
13326.61,13300
13300,13500
13500,13699.34
13699.34,15689.01
15689.01,15459.99
15459.99,14182.11
14182.11,14378.9
14378.9,12440.01
12440.01,13716.36
13716.36,13387
13380,14675.11
14675.11,14919.51
14919.51,15059.54
15059.54,16960.39
16960.39,17069.79
17069.79,16150.03
16150.03,14902.54
14902.54,14400
14400,14907.09
14907.09,13238.78
13238.78,13740.01
13740.01,14210
